Date,Max_Temp,Min_Temp,Mean_Temp,Total_Precip,Total_Rain,Total_Snow,Snow_on_Grnd,Max_Gust_Speed,Heat_Deg_Days,Cool_Deg_Days,Station_Label,Region
2019-01-01,5.3,-0.9,2.2,0.0,0.0,0.0,,,15.8,0.0,Sydney_A,Cape_Breton
2019-01-02,4.6,0.9,2.8,10.1,10.1,0.0,,35.0,15.2,0.0,Sydney_A,Cape_Breton
2019-01-03,12.2,1.9,7.1,66.0,66.0,0.0,,68.0,10.9,0.0,Sydney_A,Cape_Breton
2019-01-04,12.3,6.1,9.2,3.0,3.0,0.0,,78.0,8.8,0.0,Sydney_A,Cape_Breton
2019-01-05,9.3,4.4,6.9,2.1,2.1,0.0,,,11.1,0.0,Sydney_A,Cape_Breton
2019-01-06,8.0,2.3,5.2,11.1,11.1,0.0,,65.0,12.8,0.0,Sydney_A,Cape_Breton
2019-01-07,6.0,-0.7,2.7,0.4,0.4,0.0,,,15.3,0.0,Sydney_A,Cape_Breton
2019-01-08,4.4,-1.2,1.6,2.1,2.1,0.0,,54.0,16.4,0.0,Sydney_A,Cape_Breton
2019-01-09,9.9,2.8,6.4,4.4,4.4,0.0,,39.0,11.6,0.0,Sydney_A,Cape_Breton
2019-01-10,12.6,5.8,9.2,1.4,1.4,0.0,,45.0,8.8,0.0,Sydney_A,Cape_Breton
2019-01-11,11.6,4.2,7.9,0.0,0.0,0.0,,,10.1,0.0,Sydney_A,Cape_Breton
2019-01-12,11.7,1.8,6.8,0.0,0.0,0.0,,32.0,11.2,0.0,Sydney_A,Cape_Breton
2019-01-13,11.5,0.2,5.9,0.0,0.0,0.0,,,12.1,0.0,Sydney_A,Cape_Breton
2019-01-14,10.9,-0.3,5.3,0.0,0.0,0.0,,,12.7,0.0,Sydney_A,Cape_Breton
2019-01-15,8.4,-1.4,3.5,0.0,0.0,0.0,,,14.5,0.0,Sydney_A,Cape_Breton
2019-01-16,8.3,-1.0,3.7,0.0,0.0,0.0,,33.0,14.3,0.0,Sydney_A,Cape_Breton
2019-01-17,8.6,1.8,5.2,4.7,4.7,0.0,,37.0,12.8,0.0,Sydney_A,Cape_Breton
2019-01-18,10.4,5.2,7.8,9.3,9.3,0.0,,42.0,10.2,0.0,Sydney_A,Cape_Breton
2019-01-19,10.6,2.6,6.6,10.0,10.0,0.0,,41.0,11.4,0.0,Sydney_A,Cape_Breton
2019-01-20,8.8,-0.6,4.1,0.0,0.0,0.0,,,13.9,0.0,Sydney_A,Cape_Breton
2019-01-21,5.7,-3.0,1.4,0.0,0.0,0.0,,,16.6,0.0,Sydney_A,Cape_Breton
2019-01-22,4.0,2.3,3.2,22.8,22.8,0.0,,,14.8,0.0,Sydney_A,Cape_Breton
2019-01-23,8.3,2.5,5.4,13.5,13.5,0.0,,39.0,12.6,0.0,Sydney_A,Cape_Breton
2019-01-24,7.4,3.8,5.6,0.0,0.0,0.0,,,12.4,0.0,Sydney_A,Cape_Breton
2019-01-25,7.9,3.4,5.7,0.0,0.0,0.0,,,12.3,0.0,Sydney_A,Cape_Breton
2019-01-26,9.6,2.0,5.8,0.0,0.0,0.0,,,12.2,0.0,Sydney_A,Cape_Breton
2019-01-27,7.6,-1.2,3.2,0.0,0.0,0.0,,,14.8,0.0,Sydney_A,Cape_Breton
2019-01-28,10.4,2.1,6.3,0.0,0.0,0.0,,54.0,11.7,0.0,Sydney_A,Cape_Breton
2019-01-29,9.4,-0.5,4.5,0.0,0.0,0.0,,,13.5,0.0,Sydney_A,Cape_Breton
2019-01-30,7.2,-0.7,3.3,0.0,0.0,0.0,,,14.7,0.0,Sydney_A,Cape_Breton
2019-01-31,8.7,3.4,6.1,0.0,0.0,0.0,,,11.9,0.0,Sydney_A,Cape_Breton
2019-02-01,6.5,4.9,5.7,33.9,33.9,0.0,,,12.3,0.0,Sydney_A,Cape_Breton
2019-02-02,6.9,3.4,5.2,0.7,0.7,0.0,,,12.8,0.0,Sydney_A,Cape_Breton
2019-02-03,3.4,-8.8,-2.7,3.8,0.0,7.2,0.0,68.0,20.7,0.0,Sydney_A,Cape_Breton
2019-02-04,-3.6,-9.1,-6.4,0.0,0.0,0.0,5.0,74.0,24.4,0.0,Sydney_A,Cape_Breton
2019-02-05,0.1,-9.1,-4.5,0.0,0.0,0.0,1.0,41.0,22.5,0.0,Sydney_A,Cape_Breton
2019-02-06,1.1,-7.1,-3.0,0.0,0.0,0.0,0.0,,21.0,0.0,Sydney_A,Cape_Breton
2019-02-07,1.8,-7.7,-3.0,0.0,0.0,0.0,0.0,,21.0,0.0,Sydney_A,Cape_Breton
2019-02-08,2.1,-6.2,-2.1,0.0,0.0,0.2,0.0,76.0,20.1,0.0,Sydney_A,Cape_Breton
2019-02-09,-1.6,-3.9,-2.8,0.0,0.0,0.0,0.0,96.0,20.8,0.0,Sydney_A,Cape_Breton
2019-02-10,-2.7,-7.9,-5.3,14.0,0.0,14.0,0.0,71.0,23.3,0.0,Sydney_A,Cape_Breton
2019-02-11,-2.3,-7.1,-4.7,6.6,0.0,10.0,19.0,46.0,22.7,0.0,Sydney_A,Cape_Breton
2019-02-12,-3.1,-5.1,-4.1,7.0,0.0,9.0,28.0,37.0,22.1,0.0,Sydney_A,Cape_Breton
2019-02-13,0.8,-6.3,-2.8,3.8,0.0,6.0,21.0,,20.8,0.0,Sydney_A,Cape_Breton
2019-02-14,3.1,-5.1,-1.0,0.7,0.5,0.5,15.0,42.0,19.0,0.0,Sydney_A,Cape_Breton
2019-02-15,2.5,0.3,1.4,5.2,4.8,0.4,15.0,,16.6,0.0,Sydney_A,Cape_Breton
2019-02-16,5.9,-0.4,2.8,0.0,0.0,0.0,13.0,,15.2,0.0,Sydney_A,Cape_Breton
2019-02-17,7.3,-3.0,2.2,0.0,0.0,0.0,9.0,,15.8,0.0,Sydney_A,Cape_Breton
2019-02-18,2.6,-1.4,0.6,0.0,0.0,0.0,4.0,32.0,17.4,0.0,Sydney_A,Cape_Breton
2019-02-19,2.3,-1.7,0.3,11.3,7.8,4.4,4.0,,17.7,0.0,Sydney_A,Cape_Breton
2019-02-20,5.2,-1.2,2.0,0.0,0.0,0.0,4.0,,16.0,0.0,Sydney_A,Cape_Breton
2019-02-21,5.6,-1.9,1.9,0.0,0.0,0.0,0.0,45.0,16.1,0.0,Sydney_A,Cape_Breton
2019-02-22,4.0,-0.7,1.7,4.6,1.6,4.2,3.0,50.0,16.3,0.0,Sydney_A,Cape_Breton
2019-02-23,4.8,0.2,2.5,1.8,1.8,0.0,4.0,,15.5,0.0,Sydney_A,Cape_Breton
2019-02-24,6.2,-0.5,2.9,0.0,0.0,0.0,3.0,50.0,15.1,0.0,Sydney_A,Cape_Breton
2019-02-25,2.5,-0.9,0.8,0.0,0.0,0.0,0.0,74.0,17.2,0.0,Sydney_A,Cape_Breton
2019-02-26,2.9,-3.6,-0.4,0.0,0.0,0.0,0.0,72.0,18.4,0.0,Sydney_A,Cape_Breton
2019-02-27,4.9,0.2,2.6,0.6,0.0,0.8,0.0,63.0,15.4,0.0,Sydney_A,Cape_Breton
2019-02-28,7.0,-3.7,1.7,0.7,0.0,0.7,1.0,,16.3,0.0,Sydney_A,Cape_Breton
2019-03-01,7.9,-2.8,2.6,0.0,0.0,0.0,0.0,,15.4,0.0,Sydney_A,Cape_Breton
2019-03-02,6.7,-0.8,3.0,0.0,0.0,0.0,0.0,52.0,15.0,0.0,Sydney_A,Cape_Breton
2019-03-03,6.0,-1.4,2.3,0.0,0.0,0.0,,48.0,15.7,0.0,Sydney_A,Cape_Breton
2019-03-04,6.3,-2.0,2.2,0.0,0.0,0.0,0.0,39.0,15.8,0.0,Sydney_A,Cape_Breton
2019-03-05,5.9,-1.9,2.0,0.0,0.0,0.0,0.0,,16.0,0.0,Sydney_A,Cape_Breton
2019-03-06,3.5,-3.1,0.2,2.1,0.0,2.1,0.0,,17.8,0.0,Sydney_A,Cape_Breton
2019-03-07,5.5,-4.7,0.4,0.6,0.0,0.8,6.0,,17.6,0.0,Sydney_A,Cape_Breton
2019-03-08,7.1,-0.5,3.3,0.3,0.0,0.3,0.0,,14.7,0.0,Sydney_A,Cape_Breton
2019-03-09,8.3,-2.7,2.8,0.0,0.0,0.0,0.0,,15.2,0.0,Sydney_A,Cape_Breton
2019-03-10,9.0,-3.7,2.7,0.0,0.0,0.0,0.0,,15.3,0.0,Sydney_A,Cape_Breton
2019-03-11,,,,11.3,11.1,0.2,0.0,54.0,,,Sydney_A,Cape_Breton
2019-03-12,5.9,0.2,3.1,9.5,7.7,2.2,2.0,,14.9,0.0,Sydney_A,Cape_Breton
2019-03-13,9.1,1.2,5.2,0.2,0.2,0.0,,,12.8,0.0,Sydney_A,Cape_Breton
2019-03-14,10.7,2.4,6.6,0.0,0.0,0.0,,,11.4,0.0,Sydney_A,Cape_Breton
2019-03-15,14.1,4.3,9.2,0.0,0.0,0.0,,,8.8,0.0,Sydney_A,Cape_Breton
