Date,Max_Temp,Min_Temp,Mean_Temp,Total_Precip,Total_Rain,Total_Snow,Snow_on_Grnd,Max_Gust_Speed,Heat_Deg_Days,Cool_Deg_Days,Station_Label,Region
2019-01-01,5.4,-5.1,0.2,2.4,0.2,2.0,1.0,63.0,17.8,0.0,Truro,Colchester_Cumberland
2019-01-02,-4.2,-11.6,-7.9,0.0,0.0,0.0,0.0,44.0,25.9,0.0,Truro,Colchester_Cumberland
2019-01-03,-3.8,-13.5,-8.7,0.0,0.0,0.0,0.0,,26.7,0.0,Truro,Colchester_Cumberland
2019-01-04,3.7,-5.8,-1.1,0.0,0.0,0.0,0.0,,19.1,0.0,Truro,Colchester_Cumberland
2019-01-05,3.9,-1.7,1.1,4.2,4.2,0.0,,,16.9,0.0,Truro,Colchester_Cumberland
2019-01-06,1.6,-4.1,-1.3,5.8,1.4,4.9,0.0,39.0,19.3,0.0,Truro,Colchester_Cumberland
2019-01-07,-3.2,-13.5,-8.4,0.0,0.0,0.0,8.0,46.0,26.4,0.0,Truro,Colchester_Cumberland
2019-01-08,0.1,-13.6,-6.8,1.2,0.0,1.2,4.0,,24.8,0.0,Truro,Colchester_Cumberland
2019-01-09,5.3,-0.2,2.6,16.2,10.2,6.0,7.0,69.0,15.4,0.0,Truro,Colchester_Cumberland
2019-01-10,1.8,-3.1,-0.7,0.4,0.0,0.4,0.0,41.0,18.7,0.0,Truro,Colchester_Cumberland
2019-01-11,-2.6,-12.6,-7.6,1.8,0.0,2.4,0.0,44.0,25.6,0.0,Truro,Colchester_Cumberland
2019-01-12,-9.5,-12.6,-11.1,1.2,0.0,2.8,7.0,48.0,29.1,0.0,Truro,Colchester_Cumberland
2019-01-13,-5.6,-11.2,-8.4,0.0,0.0,0.0,8.0,31.0,26.4,0.0,Truro,Colchester_Cumberland
2019-01-14,-3.4,-16.9,-10.2,0.0,0.0,0.0,7.0,,28.2,0.0,Truro,Colchester_Cumberland
