Feature,r,p_raw,p_eff_n,N_raw,N_eff,p_bonferroni,sig_bonferroni,sig_raw
Precip_Roll5d,0.0622,0.009,0.1097,1760,662,1.0,False,True
Precip_Roll7d,0.0566,0.0176,0.1715,1760,586,1.0,False,True
Rain_Roll5d,0.0509,0.0327,0.1935,1760,654,1.0,False,True
Rain_Roll7d,0.0486,0.0417,0.2438,1760,578,1.0,False,True
Precip_Roll14d,0.0354,0.1379,0.4336,1760,492,1.0,False,False
Precip_Roll3d,0.0282,0.2374,0.3995,1760,896,1.0,False,False
Rain_Roll14d,0.026,0.2758,0.5676,1760,486,1.0,False,False
Rain_Roll3d,0.0153,0.5217,0.6528,1760,869,1.0,False,False
Precip_Lag_16d,0.0149,0.5346,0.5486,1749,1632,1.0,False,False
Precip_Lag_1d,0.0103,0.6671,0.6748,1760,1675,1.0,False,False
Precip_Lag_4d,0.009,0.7075,0.7135,1757,1683,1.0,False,False
Precip_Lag_5d,0.0084,0.7248,0.7281,1757,1713,1.0,False,False
Precip_Lag_12d,-0.0012,0.9611,0.9616,1752,1709,1.0,False,False
Precip_Lag_8d,-0.0133,0.5773,0.5867,1755,1670,1.0,False,False
Precip_Lag_10d,-0.0137,0.5653,0.5739,1753,1677,1.0,False,False
Precip_Lag_17d,-0.0147,0.5397,0.5484,1748,1674,1.0,False,False
Precip_Lag_7d,-0.0148,0.5354,0.5461,1756,1666,1.0,False,False
Precip_Lag_11d,-0.0153,0.5219,0.5307,1752,1679,1.0,False,False
Precip_Lag_2d,-0.0195,0.4132,0.4296,1759,1639,1.0,False,False
Precip_Lag_6d,-0.0199,0.4048,0.4059,1757,1749,1.0,False,False
Precip_Lag_14d,-0.0209,0.3827,0.3951,1751,1662,1.0,False,False
Precip_Lag_9d,-0.0236,0.323,0.3399,1754,1636,1.0,False,False
Precip_Lag_15d,-0.0267,0.2642,0.2758,1750,1667,1.0,False,False
Precip_Lag_20d,-0.0312,0.193,0.1936,1747,1742,1.0,False,False
Precip_Lag_19d,-0.0343,0.1524,0.1573,1747,1706,1.0,False,False
Precip_Lag_21d,-0.0395,0.0987,0.1075,1746,1659,1.0,False,False
Precip_Lag_18d,-0.0454,0.058,0.0634,1747,1676,1.0,False,False
Precip_Lag_13d,-0.0483,0.0431,0.0435,1752,1745,1.0,False,True
Precip_Lag_3d,-0.0511,0.0322,0.0361,1758,1682,1.0,False,True
FTC_Lag_20d,-0.0719,0.0026,0.0299,1747,911,1.0,False,True
FTC_Lag_18d,-0.0827,0.0005,0.012,1747,922,0.732,False,True
FTC_Lag_19d,-0.093,0.0001,0.0055,1747,888,0.3355,False,True
FTC_Lag_21d,-0.0941,0.0001,0.0046,1746,906,0.2806,False,True
Snow_Roll3d,-0.0953,0.0001,0.0103,1760,724,0.6283,False,True
FTC_Lag_11d,-0.1025,0.0,0.0018,1752,924,0.1098,False,True
HDD_Roll30d,-0.1071,0.0,0.0291,1760,415,1.0,False,True
FTC_Lag_12d,-0.1075,0.0,0.0013,1752,890,0.0793,False,True
FTC_Lag_17d,-0.1095,0.0,0.0009,1748,909,0.0549,False,True
FTC_Lag_7d,-0.1141,0.0,0.0006,1756,911,0.0366,True,True
FTC_Lag_13d,-0.1143,0.0,0.0005,1752,913,0.0305,True,True
FTC_Lag_6d,-0.1146,0.0,0.0005,1757,915,0.0305,True,True
Snow_Roll5d,-0.1149,0.0,0.0064,1760,563,0.3904,False,True
FTC_Lag_15d,-0.1156,0.0,0.0005,1750,916,0.0305,True,True
FTC_Lag_8d,-0.1181,0.0,0.0003,1755,918,0.0183,True,True
FTC_Lag_16d,-0.1191,0.0,0.0003,1749,912,0.0183,True,True
FTC_Lag_10d,-0.1204,0.0,0.0003,1753,911,0.0183,True,True
FTC_Lag_14d,-0.1258,0.0,0.0001,1751,909,0.0061,True,True
FTC_Lag_1d,-0.1266,0.0,0.0001,1760,920,0.0061,True,True
FTC_Lag_2d,-0.1281,0.0,0.0001,1759,915,0.0061,True,True
FTC_Lag_3d,-0.1301,0.0,0.0001,1758,913,0.0061,True,True
Snow_Roll14d,-0.1311,0.0,0.0054,1760,449,0.3294,False,True
Snow_Roll7d,-0.1316,0.0,0.0027,1760,517,0.1647,False,True
FTC_Lag_4d,-0.1335,0.0,0.0,1757,926,0.0,True,True
FTC_Lag_9d,-0.1344,0.0,0.0,1754,913,0.0,True,True
PrecipxFTC_Roll7d,-0.1403,0.0,0.0013,1760,520,0.0793,False,True
HDD_Roll14d,-0.1568,0.0,0.0013,1760,417,0.0793,False,True
FTC_Lag_5d,-0.1596,0.0,0.0,1757,892,0.0,True,True
FTC_Roll3d,-0.1652,0.0,0.0001,1760,553,0.0061,True,True
FTC_Roll5d,-0.1806,0.0,0.0001,1760,472,0.0061,True,True
FTC_Roll7d,-0.184,0.0,0.0001,1760,446,0.0061,True,True
FTC_Roll14d,-0.189,0.0,0.0001,1760,425,0.0061,True,True
