lag,r,p_raw,p_eff_n,p_bonferroni,N_eff,sig_bonf
1,-0.1109,0.0,0.0008,0.0166,912,True
2,-0.115,0.0,0.0005,0.0105,912,True
3,-0.1408,0.0,0.0,0.0004,912,True
4,-0.1184,0.0,0.0003,0.0071,912,True
5,-0.1141,0.0,0.0006,0.0117,911,True
6,-0.1146,0.0,0.0005,0.0111,910,True
7,-0.1182,0.0,0.0004,0.0074,910,True
8,-0.1096,0.0,0.0009,0.0196,909,True
9,-0.1151,0.0,0.0005,0.0107,909,True
10,-0.1258,0.0,0.0001,0.003,909,True
11,-0.0993,0.0,0.0027,0.0571,909,False
12,-0.0978,0.0,0.0032,0.067,908,False
13,-0.1086,0.0,0.001,0.022,908,True
14,-0.0728,0.0023,0.0283,0.5944,907,False
15,-0.0941,0.0001,0.0046,0.0967,906,False
16,-0.0914,0.0001,0.0059,0.1241,906,False
17,-0.0825,0.0006,0.0129,0.2717,906,False
18,-0.0477,0.0465,0.1517,1.0,905,False
19,-0.047,0.0498,0.1576,1.0,905,False
20,-0.0427,0.0749,0.1994,1.0,905,False
21,-0.0389,0.1049,0.2428,1.0,904,False
