Month,Month_num,Feature,r,p,n,sig,stars
Jan,1,FTC 14-day,-0.1391,0.0412,216,True,*
Jan,1,Rain 7-day,0.1921,0.0046,216,True,**
Jan,1,Precip 7-day,0.3127,0.0,216,True,***
Jan,1,Snow 7-day,0.351,0.0,216,True,***
Jan,1,HDD 14-day,0.2195,0.0012,216,True,**
Jan,1,Precip×FTC 7-day,0.3113,0.0,216,True,***
Feb,2,FTC 14-day,-0.0648,0.3644,198,False,ns
Feb,2,Rain 7-day,0.1019,0.1532,198,False,ns
Feb,2,Precip 7-day,0.239,0.0007,198,True,***
Feb,2,Snow 7-day,0.1246,0.0802,198,False,ns
Feb,2,HDD 14-day,0.1094,0.1251,198,False,ns
Feb,2,Precip×FTC 7-day,0.2214,0.0017,198,True,**
Mar,3,FTC 14-day,-0.1836,0.0067,217,True,**
Mar,3,Rain 7-day,0.3337,0.0,217,True,***
Mar,3,Precip 7-day,0.2847,0.0,217,True,***
Mar,3,Snow 7-day,-0.0686,0.3142,217,False,ns
Mar,3,HDD 14-day,-0.0514,0.4511,217,False,ns
Mar,3,Precip×FTC 7-day,0.0909,0.1821,217,False,ns
Apr,4,FTC 14-day,-0.0604,0.384,210,False,ns
Apr,4,Rain 7-day,0.1692,0.0141,210,True,*
Apr,4,Precip 7-day,0.2253,0.001,210,True,**
Apr,4,Snow 7-day,0.087,0.2094,210,False,ns
Apr,4,HDD 14-day,0.0375,0.589,210,False,ns
Apr,4,Precip×FTC 7-day,0.019,0.7837,210,False,ns
May,5,FTC 14-day,-0.158,0.0198,217,True,*
May,5,Rain 7-day,0.0649,0.341,217,False,ns
May,5,Precip 7-day,0.0587,0.3898,217,False,ns
May,5,Snow 7-day,-0.1383,0.0419,217,True,*
May,5,HDD 14-day,-0.0311,0.6482,217,False,ns
May,5,Precip×FTC 7-day,-0.073,0.2843,217,False,ns
Jun,6,FTC 14-day,,,210,False,
Jun,6,Rain 7-day,-0.0263,0.7048,210,False,ns
Jun,6,Precip 7-day,-0.0054,0.9378,210,False,ns
Jun,6,Snow 7-day,,,210,False,
Jun,6,HDD 14-day,0.0071,0.9191,210,False,ns
Jun,6,Precip×FTC 7-day,,,210,False,
Jul,7,FTC 14-day,,,217,False,
Jul,7,Rain 7-day,0.0368,0.5896,217,False,ns
Jul,7,Precip 7-day,0.0202,0.7674,217,False,ns
Jul,7,Snow 7-day,,,217,False,
Jul,7,HDD 14-day,0.1538,0.0235,217,True,*
Jul,7,Precip×FTC 7-day,,,217,False,
Aug,8,FTC 14-day,,,217,False,
Aug,8,Rain 7-day,0.0511,0.4543,217,False,ns
Aug,8,Precip 7-day,0.0659,0.3338,217,False,ns
Aug,8,Snow 7-day,,,217,False,
Aug,8,HDD 14-day,-0.1272,0.0613,217,False,ns
Aug,8,Precip×FTC 7-day,,,217,False,
Sep,9,FTC 14-day,,,210,False,
Sep,9,Rain 7-day,0.1274,0.0654,210,False,ns
Sep,9,Precip 7-day,0.1462,0.0342,210,True,*
Sep,9,Snow 7-day,,,210,False,
Sep,9,HDD 14-day,-0.2461,0.0003,210,True,***
Sep,9,Precip×FTC 7-day,,,210,False,
Oct,10,FTC 14-day,-0.1386,0.0592,186,False,ns
Oct,10,Rain 7-day,-0.0204,0.7825,186,False,ns
Oct,10,Precip 7-day,-0.0181,0.8068,186,False,ns
Oct,10,Snow 7-day,-0.1126,0.126,186,False,ns
Oct,10,HDD 14-day,-0.1843,0.0118,186,True,*
Oct,10,Precip×FTC 7-day,-0.0998,0.1752,186,False,ns
Nov,11,FTC 14-day,-0.2588,0.0005,180,True,***
Nov,11,Rain 7-day,0.1374,0.0659,180,False,ns
Nov,11,Precip 7-day,0.1393,0.0622,180,False,ns
Nov,11,Snow 7-day,-0.213,0.0041,180,True,**
Nov,11,HDD 14-day,-0.1775,0.0171,180,True,*
Nov,11,Precip×FTC 7-day,-0.1307,0.0803,180,False,ns
Dec,12,FTC 14-day,0.0945,0.1993,186,False,ns
Dec,12,Rain 7-day,0.0215,0.771,186,False,ns
Dec,12,Precip 7-day,0.0402,0.5863,186,False,ns
Dec,12,Snow 7-day,0.0588,0.425,186,False,ns
Dec,12,HDD 14-day,-0.0675,0.3597,186,False,ns
Dec,12,Precip×FTC 7-day,0.0898,0.2229,186,False,ns
