lag,r_raw,p_raw,r_adj,p_adj,r_change
1,-0.1109,0.0,-0.0013,0.9556,0.1096
2,-0.115,0.0,-0.0081,0.7334,0.1069
3,-0.1408,0.0,-0.038,0.1109,0.1027
4,-0.1184,0.0,-0.0206,0.3881,0.0978
5,-0.1141,0.0,-0.0165,0.4904,0.0977
6,-0.1146,0.0,-0.0308,0.1974,0.0839
7,-0.1182,0.0,-0.0392,0.1004,0.079
8,-0.1096,0.0,-0.0376,0.1153,0.072
9,-0.1151,0.0,-0.0444,0.0629,0.0706
10,-0.1258,0.0,-0.0598,0.0124,0.066
11,-0.0993,0.0,-0.0323,0.1771,0.067
12,-0.0978,0.0,-0.0409,0.0874,0.0569
13,-0.1086,0.0,-0.06,0.0122,0.0486
14,-0.0728,0.0023,-0.0185,0.4386,0.0543
15,-0.0941,0.0001,-0.0419,0.0799,0.0521
16,-0.0914,0.0001,-0.0493,0.0395,0.0421
17,-0.0825,0.0006,-0.0453,0.0586,0.0373
18,-0.0477,0.0465,-0.0092,0.7014,0.0385
19,-0.047,0.0498,-0.0164,0.4949,0.0306
20,-0.0427,0.0749,-0.0149,0.5346,0.0278
21,-0.0389,0.1049,-0.0164,0.4938,0.0225
